,Influencers,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago,AgeOfTweet,TweetAgeType
37,katyperry,05/22/2018,"Before this weekend’s American Idol finale, I… https://t.co/OcJnBWY5j5",0.0,0.0,0.0,1.0,963,41,1
38,katyperry,05/22/2018,"Season 1 is ""Going, Going, Gone""! Congratulations, brilliant @MaddiePoppe ✨👏🏻 Click here for her ear  🍬:… https://t.co/wbpr1utAHc",0.8398,0.363,0.0,0.637,962,41,1
39,katyperry,05/22/2018,The couple that sangs together stays together... #AmericanIdolFinale https://t.co/3GPMGfRdym,0.0,0.0,0.0,1.0,961,41,1
40,katyperry,05/22/2018,WHEN A QUEEN MEETS ANOTHER QUEEN @adavox @mspattipatti 👑 👑 #AmericanIdolFinale,0.0,0.0,0.0,1.0,960,41,1
41,katyperry,05/22/2018,😭 WHAT THE WORLD NEEDS NOW IS ❤️ and more of you @michaelwoodard @YolandaAdams #AmericanIdolFinale,-0.4767,0.0,0.154,0.846,959,41,1
42,katyperry,05/22/2018,"Look at you, you're sparkling ✨ @hashtagcatie #KatySquared #AmericanIdolFinale https://t.co/Cdek7uUi2J",0.5423,0.36,0.0,0.64,958,41,1
43,katyperry,05/22/2018,KATY SQUARED COMING SOON ‼️#AmericanIdolFinale https://t.co/OEss6MMn7u,0.0,0.0,0.0,1.0,957,41,1
44,katyperry,05/22/2018,😩LAYLAAAAA❗️DYXIIIEEEEE❗️TWO precious. God bless you @leannrimes 🙏🏼,0.8225,0.518,0.0,0.482,956,41,1
45,katyperry,05/22/2018,I can't believe y'all did that to me on live television @americanidol @tholmesmusic I'm coming for you next season 😈,0.4588,0.125,0.0,0.875,955,41,1
46,katyperry,05/22/2018,My angel @beberexha and the Idol BBs 😩 #AmericanIdolFinale,-0.2732,0.0,0.189,0.811,954,41,1
47,katyperry,05/22/2018,"Just a coupla old souls, sangin' @calebleemusic @dariusrucker #AmericanIdolFinale",0.0,0.0,0.0,1.0,953,41,1
48,katyperry,05/22/2018,LAST LOOKS! #AmericanIdolFinale https://t.co/GGBChLkbpr,0.0,0.0,0.0,1.0,952,41,1
49,katyperry,05/22/2018,Speaking of 🔥: @CadeFoehner @dennislorenzo @GaryClarkJr #AmericanIdolFinale,0.0,0.0,0.0,1.0,951,41,1
50,katyperry,05/22/2018,Me watching @MaddiePoppe and @KermitTheFrog https://t.co/r8Z6znw2XC,0.0,0.0,0.0,1.0,950,41,1
51,katyperry,05/22/2018,I BELIEVE MOST PEOPLE ARE GOOD TOOOOO 😩 @lukebryanonline @gabbybarrett_,0.5356,0.311,0.143,0.546,949,41,1
52,katyperry,05/22/2018,"I just caught up to Huntin, Fishin, Lovin, and now it's Sunrise 🌅, Sunburn 🔥, Sunset 🌅 @LukeBryanOnline? #americanidolfinale",0.0,0.0,0.0,1.0,948,41,1
53,katyperry,05/22/2018,OMG is that OUR @Jurnee? 😱 #AmericanIdolFinale,-0.7003,0.0,0.42,0.58,947,41,1
54,katyperry,05/22/2018,OMG UNCLE LIONEL‼️ 😩 #AllNightLong #AmericanIdolFinale https://t.co/dQr8djp2Cc,-0.2732,0.0,0.231,0.769,946,41,1
55,katyperry,05/21/2018,It’s the ✨GRAND FINALE!✨😱 and my last show with uncle @LionelRichie and my cray brother @LukeBryanOnline this seaso… https://t.co/xJVnY5lZ8S,0.0,0.0,0.0,1.0,945,41,1
56,katyperry,05/21/2018,Just rewatched the 3 finale contestants' 1st auditions on the @AmericanIdol app. So proud of each of them &amp; how far… https://t.co/nXMhGQsX7G,0.6113,0.166,0.0,0.834,944,42,1
57,katyperry,05/21/2018,addicted/obsessed https://t.co/kHW2sRjyqz,0.0,0.0,0.0,1.0,943,42,1
58,katyperry,05/21/2018,🌼 @maddiepoppe Authentic AF.,0.0,0.0,0.0,1.0,942,42,1
59,katyperry,05/21/2018,NEVER WASTE A FRINGE @GabbyBarrett_ ☝🏻💁🏼,0.4356,0.418,0.0,0.582,941,42,1
60,katyperry,05/21/2018,🤠 @calebleemusic Don't Close Your Eyes is your essence and why we all fell in love with you months ago. Keep that c… https://t.co/eVhppIrGPO,0.6369,0.144,0.0,0.856,940,42,1
61,katyperry,05/21/2018,"“Fake it until you make it and  then when you make it, shake and bake it” -@LukeBryanOnline 😝🤦🏼‍♂️ #AmericanIdolFinale",-0.1779,0.0,0.086,0.914,939,42,1
62,katyperry,05/20/2018,You can travel the 🌎 but nothing comes close to the SB coast🏠About to hit stage for a long awaited homecoming benef… https://t.co/EpTqldVs0r,-0.0387,0.0,0.048,0.952,938,43,1
63,katyperry,05/18/2018,Add me to the group of most. #gunreformnow https://t.co/14VN4jSmat,0.0,0.0,0.0,1.0,937,44,1
64,katyperry,05/17/2018,"#tbt to Lions and Frida and tacos, oh my! 🦁🌮😱 Mexico, I had so much fun with you. Te amo! You’re up next, Europe! 🔜 https://t.co/6My2GwoV9f",0.6656,0.151,0.0,0.849,936,45,1
65,katyperry,05/17/2018,"I don’t even say “I can’t wait...” anymore. That statement says I don’t have the patience and actually, I know I do… https://t.co/sLc7G0BZQo",0.0,0.0,0.0,1.0,935,46,1
66,katyperry,05/17/2018,"Everything is energy, words are vibrations, remember words are ARE powerful. Change I can’t to I can. I won’t to I… https://t.co/m9YtMlXYJr",0.5994,0.224,0.0,0.776,934,46,1
67,katyperry,05/16/2018,"3⃣ more days until Witness: Coming Home, a benefit for the community of my ❤, Santa Barbara. Bid now for 🎟 to this… https://t.co/oAJag26DAx",0.4588,0.115,0.0,0.885,933,47,1
68,katyperry,05/16/2018,My 👑 queens 👑 @HookedOnDolls and my 😇 Angel 😇  @OhElleYeah  are coming with me to Johannesburg! See you soon ‼️… https://t.co/wEgCELnJAh,0.7424,0.195,0.0,0.805,932,47,1
69,katyperry,05/16/2018,LAURELLLLLLLLLLLLLLLLLL,0.0,0.0,0.0,1.0,931,47,1
70,katyperry,05/16/2018,@HighwayKatyCorn Pinot Noir,0.0,0.0,0.0,1.0,930,47,1
71,katyperry,05/16/2018,@colleenseleven No how cause I haven’t been on here in a min,-0.296,0.0,0.196,0.804,929,47,1
72,katyperry,05/16/2018,*you’re (leaves twitter),0.0,0.0,0.0,1.0,928,47,1
73,katyperry,05/16/2018,"Furthermore, it should be submitted to get its own national holiday. I’m over these made up holidays to sell more j… https://t.co/8TrrJUN5bv",0.6486,0.209,0.0,0.791,927,47,1
74,katyperry,05/16/2018,Honestly whoever named it a “lazy Susan” wasn’t giving it enough credit. That thing can serve several people in one… https://t.co/CN67rECqg3,0.7906,0.32,0.0,0.68,926,47,1
75,katyperry,05/16/2018,Who ate my snacks?! #EndARelationshipIn4Words,0.0,0.0,0.0,1.0,925,47,1
76,katyperry,05/16/2018,"WHAT 👏🏼 A 👏🏼 LINEUP❗️
The #AmericanIdol finale is almost here and we are going out BIG! 💥 Watch 📺, vote ✅, and list… https://t.co/aIFnuCF4Rf",-0.4199,0.0,0.083,0.917,924,47,1
77,katyperry,05/14/2018,AUSTRALIA! 🇦🇺 The final encore shows in Adelaide &amp; Sydney are on sale now! Get your 🎟 at https://t.co/VNXmphRhJe an… https://t.co/jhIO18EKHx,0.0,0.0,0.0,1.0,923,49,1
78,katyperry,05/14/2018,Are you watching this Mother’s Day themed #AmericanIdol? I hope you’re tuning in and snuggling with your mama! ❤️… https://t.co/Y8HXzbM5YO,0.4926,0.151,0.0,0.849,922,49,1
79,katyperry,05/13/2018,Things are HEATING UP🔥 Tune in at 5pm local time and ☑VOTE☑ for who you want to be in the #AmericanIdol FINALE! 🎤🏆 https://t.co/PdwtnPJJWu,0.1511,0.065,0.0,0.935,921,49,1
80,katyperry,05/13/2018,Issa word 🤗👑♥️ https://t.co/fUfb0lfBTT,0.0,0.0,0.0,1.0,920,50,1
81,katyperry,05/11/2018,Don’t forget to take everything with a himayalain grain of salt AND laugh at the devil daily ♥️,-0.4019,0.145,0.253,0.602,919,52,1
82,katyperry,05/10/2018,"✨3 Wise WOWmen ✨ 

#TBT 📸 @ronyalwin @ St Marks Hotel New York City https://t.co/le51JFMQX9",0.6597,0.278,0.0,0.722,918,52,1
83,katyperry,05/10/2018,Isn’t it so wonderful that with every new day there is a new opportunity to see things differently and live more gracefully? ♥️,0.9049,0.36,0.0,0.64,917,53,1
84,katyperry,05/10/2018,There’s only two states of being. Love or Fear. Which one will you choose? ♥️,0.25,0.196,0.15,0.654,916,53,1
85,katyperry,05/10/2018,Love you too my Earth Angel. ♥️ https://t.co/peMHCfLNhW,0.6369,0.344,0.0,0.656,915,53,1
86,katyperry,05/09/2018,Though I walk through the valley of the shadow of death...… https://t.co/VspKHAwjEt,0.0,0.0,0.0,1.0,914,54,1
87,katyperry,05/08/2018,"🇦🇺! You asked for it! I'm ADDING ✌🏼MORE SHOWS! See you in Adelaide on July 28 and Sydney August 17
🎟 go on sale at… https://t.co/qcg5R40ayw",0.0,0.0,0.0,1.0,913,54,1
88,katyperry,05/08/2018,Best dressed: Greta Gerwig #METGALA18,0.6369,0.512,0.0,0.488,912,55,1
89,katyperry,05/07/2018,I knew I wore that Donald Duck hat for a reason! 😝 https://t.co/Gcae66wS9O,0.0,0.0,0.0,1.0,911,56,1
90,katyperry,05/07/2018,Are you watching?! ♥️ #americanidol https://t.co/OxHNxCJleZ,0.0,0.0,0.0,1.0,910,56,1
91,katyperry,05/07/2018,“...when you gotta lil hitch in your giddy up...”- @LukeBryanOnline 😝🐴 #americanidol,-0.1531,0.0,0.127,0.873,909,56,1
92,katyperry,05/07/2018,TUNE IN NOW 📺 AND VOTE! ✅ #americanidol,0.0,0.0,0.0,1.0,908,56,1
93,katyperry,05/05/2018,"I need a Mai Tai, so f*ckin' sci-fi
Give me the password, to the fuckin' WiFi. (OMFG THESE LYRICS/LEWKS &amp; VIDEO🚨IM… https://t.co/a7XGddT7d7",0.0,0.0,0.0,1.0,907,58,1
94,katyperry,05/04/2018,Y’ALL! I’m having TWO ✌🏼 much fun to stop now... so why don’t we keep it going!? 🚨 🔈EXCITED TO ANNOUNCE that… https://t.co/lFerHehptK,0.7081,0.201,0.062,0.737,906,59,1
95,katyperry,05/03/2018,#TBT This weekend marked the 10th anniversary of the release of I Kissed A Girl! 💋 Thank you for believing in me th… https://t.co/ew5vUSlmvF,0.8016,0.291,0.0,0.709,905,59,1
96,katyperry,04/30/2018,Cindy lent me her shoes 🤷🏼‍♂️ https://t.co/2qCO8kJVyW,0.0,0.0,0.0,1.0,904,62,1
97,katyperry,04/30/2018,"dress for the job you want, not for the job you have... ✨ https://t.co/8SJxHOWdgW",0.3818,0.231,0.0,0.769,903,63,1
